comment,compound,positive,negative,neutral
"Nick You can add pubg mobile in your speed test because it is a very popular game, people and gamers are curious to know which phone is going to open the game faster.",0.659,0.148,0.0,0.852
El diseño se parece a Oppo A3S,0.0,0.0,0.0,1.0
Great 👍🏻,0.6249,0.451,0.0,0.549
No C1 speedtest ?,-0.296,0.0,0.423,0.577
最近このイヤホンを試してみたんだけど、音質とフィット感、どっちが大事だと思う？実体験、教えてほしい！,0.0,0.0,0.0,1.0
Nice comparison video,0.4215,0.583,0.0,0.417
"Strange, Apple tried to drop the Price to rope in more people and increase their revenue$, …but due to the overall poor quality & features, it’ll probably backfire and anger many first time buyers never to buy another iPhone.  
Thus: “You Get What You Pay For.”",-0.8194,0.047,0.221,0.732
Useless device at this whopping high price.,-0.4215,0.0,0.318,0.682
ESR has a case that adds MagSafe on Amazon for 17$ and works just fine.,0.3612,0.212,0.0,0.788
Should have just used the A16 from the iPhone 15 and sold it for 499. Apple AI is vaporware and is delayed again until iOS 19 or even iOS 20.,-0.2263,0.0,0.061,0.939
The device was indexing.   If you went to about it would have showed you that.   Additionally if you have iCloud photos on when you set up a new phone it optimizes all of them for that device Thuss also slowing it down the 16e is by no means slow or laggy,0.1531,0.052,0.041,0.907
"Nah. MagSafe is extremely convenient and I can’t imagine having a smartphone without it. Also, UWB chip is something my family really needs as we use AirTags. And precision finding is truly  important to us.",0.5106,0.123,0.037,0.84
I am using an iPhone XR and I'm thinking of upgrading into an iPhone 17 when it will be released on October. I have changed its original battery it has 97% battery health and I can go through the day no problem. Still supports the latest iOS version minus the latest features of course but for my usage I don't feel it's lacking significantly. Maybe in low light photography but even then you can adjust the filters and make the photo usable ☺,0.6574,0.1,0.029,0.871
"Wow! 
Haven't seen one of your videos in years. 
The wifi comparison is just what I was looking for. We have a 1gb Mbps account. I get up to 600mbps on my 8+. Yeah. I know. Time for an upgrade. 
On my Android there's a small ""6"" with up and down arrows next to the wifi icon. That's wifi 6? Sorry. Dumb question",0.4003,0.09,0.066,0.844
it's a cheap garbage phone from apple so pathetic that apple still bring back the notch and put 60hz that is such a delusional move from them even the new nothing phone 3a and the galaxy a56 offers a lot of features than this crap,-0.829,0.0,0.153,0.847
Apple made a cheaper premium iPhone. The ‘missing’ features are things that most people won’t miss. 😂😂😂,0.7806,0.265,0.176,0.559
"Thanks for raising the PWM flickering issue! More people know about it, more they can connect the dots about having eye strain and headaches after using an OLED phone.",0.4574,0.102,0.038,0.86
"What do you mean by ""It doesn't have stabilization""? This camera have OIS, you can see it in official specs on apple website.",0.0,0.0,0.0,1.0
I considered this for my girl she had a iPhone 12 I ended up getting her a great condition iPhone 14 Pro for 300 instead of this I feel like I made the right decision,0.765,0.167,0.0,0.833
PMW is actually a dealbreaker. Do you know if it’s any worse than  iPhone 13 or 14?,-0.4767,0.0,0.162,0.838
Had mine for about a week got it on preorder. What I will say performance is definitely lacking when the battery is under 15% unlike most iPhones where it’ll be pretty solid until it dies. However I have no other gripes the screen is amazing the response is fantastic I’m typing this from the 16e it’s durable I’ve dropped it and got no scratches or anything. No issues with T-Mobile and my T-Mobile credit gave me this phone for free you need anything better than a Walmart family mobile phone but most phones are accepted!,0.9079,0.179,0.045,0.776
Already on sales in Asia. Abysmal sales😂😂😂,0.8271,0.344,0.172,0.483
In the settings menu the black color (dark mood) looks very dark and I like it this way! How can I make it as dark as yours ?,0.4199,0.094,0.0,0.906
Charging your phone wirelessly at 7.5w will degrade the battery. Could've been scrapped.,-0.4404,0.0,0.195,0.805
I would hope the 16 pro max is better. It cost twice as much. Apple website lists it at $1199.,0.7003,0.244,0.0,0.756
"The iPhone 16E is trap in an iPhone 4 w/o the headphone jack & an iPhone XR like camera.Also, this has the price of the iPhone 11.",0.0516,0.084,0.077,0.839
"Please pay attention to the forced labor issues at Apple's Chinese supplier, Desay Battery factory. Workers are required to work at least 10 hours a day; otherwise, they are considered absent and will have three days' wages deducted",-0.2732,0.055,0.106,0.839
Wow phone company’s are so creative 💀,0.8196,0.601,0.0,0.399
iPhone 16 vs iPhone 11,0.0,0.0,0.0,1.0
11🥺🔑,0.0,0.0,0.0,1.0
Guys why always 11? 12 is more like a 16 because of its flat edge tf,0.4201,0.157,0.0,0.843
अबे तू डुप्लिकेट नक बसवी😅😅लेत,0.6124,0.312,0.0,0.688
Let me get the 11,0.0,0.0,0.0,1.0
,0.0,0.0,0.0,1.0
11 model best'hai,0.0,0.0,0.0,1.0
That's a fake ip 11,-0.4767,0.0,0.437,0.563
I have iPhone 11,0.0,0.0,0.0,1.0
A por que el video duro poquito a se te acabo la batería 🗿,0.0,0.0,0.0,1.0
i got my iphone 11 in 2023 form my mom and currently its actually worth it for example it’s simple and cheap you can always install ios 18 on it and kaboom you have an decent working phone ☺️,0.5994,0.114,0.0,0.886
Ngl the iPhone 16 camera looks weird..,-0.1779,0.0,0.221,0.779
Oled vs lcd,0.0,0.0,0.0,1.0
iPhone 16,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
"2025, Android smartphones :
- Latest Android 15.
- upto 2k resolution display.
- upto 1Tb of ufs 4.1 storage type & upto 16gb LPDDR5X Ram.
- 3nm processors.
- upto Wi-Fi 7, Bluetooth 5.4, USB 3.2 Gen1.
- polycarbonate, glass, aluminium, Vegan leather - back cover.
- upto 7000 mah 🔋.
- upto 120 watt chargers in box pack.
-- Apple iphone's  - what is ""watt"" ? 
 We earn more than Chinese. We sell 20w charger seperately for Rs 2,000.  30w - Rs 3,800. 😀😀
* iphone  : 
Same old notch ( now modified as ""Dynamic island"" ), no charger in box, no 3.5 mm audio jack, no FM radio, no expandable memory card slot, one sim + one e-sim,  usb type 'C' charging port only from ""15 series""  from September 2023, only 60hz display in non pro iPhone 15 models.
🤔🤔
But, iphone is the best. 😀😀",0.9217,0.102,0.037,0.86
I have iPhone 16 PRO Max 😊,0.7184,0.4,0.0,0.6
I'm so anxious watching this cuz I have to wait a whole week to buy the iphone 16,-0.3167,0.0,0.119,0.881
Vivo 200x pro vs iphone 16 pro max,0.0,0.0,0.0,1.0
I think also because UFS 4,0.0,0.0,0.0,1.0
Why are we still buying iPhones? 🤔,0.0,0.0,0.0,1.0
No one is talking about UFS 4.1,-0.296,0.0,0.268,0.732
Test it again after 5 years 😊,0.7184,0.4,0.0,0.6
nice wallpaper on iphone 16 pro max. can you share please?,0.743,0.477,0.0,0.523
Apples camera has faster opening coz they always staring at u😂,0.4404,0.193,0.096,0.711
Women only care about the design and colors.. men never,0.4939,0.262,0.0,0.738
"...
After watching this Video,  I have immediately ordered a 15 Ultra.... 16 GB + 1 TB... On the official Website for Xiaomi there is a 200 € early bird discount and a 200 € worth gift...

That is so attractive owing to the fact that Apple can not even do a simple split-screen funtion... 🙂‍↕️👍

Thank you for this Video....",0.9144,0.181,0.0,0.819
"Once considered a cheap iPhone rip-off, now neck to neck with the same. What a time to be alive!
This just shows that all htc, LG etc had to do was to keep making great phones and actully make them available to purchase by the end consumers.",0.7901,0.134,0.0,0.866
Battery on xiaomi phones is generally incredibly from personal experience,0.0,0.0,0.0,1.0
I feel apple gonna bring an m series chip for apple abandoning the A series,-0.3818,0.0,0.157,0.843
"Noticed quite a bit of stutter on iPhone on Google News app, app store, twitter etc, no? Ive also recently tried out 16PM & normal 16, and I'm just going to ignore the 16(e) because that 60Hz feels horrendous. I don't really understand people who like to say it's equiv. to 120Hz on android (on what android? some $200 android from 2018?), and honestly just going through UI and browsing just straight up feels smoother on HyperOS 2 vs. iOS. I've gotten used to HyperOS 2 so iPhone actually felt a bit sluggish to me. And I'm seeing it in this video, too. 
But don't get me wrong, I don't like HyperOS, I still often find small annoying bugs. Very inconsistent experience.

Sidenote: the reason why android phones are so focused on ""optimization"" and ""speed"" nowadays is due to it being super-trendy in China. It's like a marketing flex, or something.",0.8381,0.12,0.08,0.801
now do multitasking with the best full sized split screen phones while its opened.,0.6369,0.244,0.0,0.756
But the 2025 iPhone 17 pro max with slap all androids lol I don’t care really,0.872,0.432,0.0,0.568
90% of these people don’t own/can’t afford neither an iPhone the samsung nor the xiaomi and yet put so much hatred on the iPhone because its the best and the beast 😂,0.3862,0.172,0.138,0.69
"My best phone must have these specs: 200 megapixel camera, IR Blaster, 1TB, Wet Enhanced Touch 2,0  (shoots underwater & on wet screen), eSIM,  shatterproof front & back, 120Hz refresh rate, 6000 mAh battery, 120w hyper charging,  wireless & reverse wireless charging,  robust speakers, 4k recording,  AI Tools... Now these specs are on the Redmi Note 14 Pro+ 5G, Honor Magic 7 Pro, Vivo X200 Pro,  OnePlus 13, Oppo Find X8,  Huawei Mate 70 Pro Plus (indestructible, unbreakable) , Redmi K80 Pro, and the mighty Xiaomi 15 Ultra. Respect China🇨🇳",0.926,0.146,0.0,0.854
"iPhone 16pm 18.3 I have seen it in 8800 multicore and 3550 in single core... anyway, the fact that one has 16gb of RAM and the other only 8gb of RAM says a lot... I think they need to improve the scrolling and I think it's because the 120hz doesn't work constantly, that's why that happens...",0.4404,0.05,0.0,0.95
"Xiaomi then:So b😒ring.
Xiaomi now:😯MG!",0.0,0.0,0.0,1.0
"It feels 60hz because apple doesn't fully utilize the 120hz while scrolling it keeps it fixed at 80hz for that ""elegance"" (acc to them).",0.4767,0.119,0.0,0.881
A Strange year for the iPhone...,-0.2023,0.0,0.265,0.735
Dude where is the new MacBook Air video?,0.0,0.0,0.0,1.0
Camera control is one of the most dumb feature I have ever seen,-0.5563,0.0,0.23,0.77
"Hey guys, I'm using a 12 Pro Max. Should I upgrade to the 16 Pro/Pro Max or should I just get the 15 Pro/Pro Max and save the difference for accessories and other stuff?",0.4939,0.088,0.0,0.912
Ain't desert titanium just a fancy name for rose gold?,0.0,0.0,0.0,1.0
2025 is critical for Apple to Bring Exciting iPhone -Atleast 1 New feature that's Mind-Blowing 🤞🏻,0.2263,0.136,0.098,0.766
"so when tim cook said, apple intelligence built from the ground up for apple intelligence & break through a.i.  !, so when he said @ the end ""brake through intelligence"" does that mean copy what google & samsung has already done then wait a few years later before apple brijtsvit to you our consumers because here @ apple we love everybodies money, we do not discriminate unless its the latest & greatest tech & a.i. well then we do discriminate until google & samsung brings it out first for a few years until we can see nobody is against it, then we will slowly roll it out when its safe for us to bring to you are overlooked customers, is that what apple intelligence is, i want a refund ! tim cook , u ma fucca, u !",0.9796,0.178,0.007,0.815
the smartphone market is saturated to a higher degree there is no innovation no more.,-0.0762,0.111,0.128,0.761
I got the new iPhone. It’s pretty nice. Size is very good. 6.9 (nice) is perfect.,0.9428,0.592,0.0,0.408
honestly the camera control button needs way more improvement. Very counterproductive now. I still prefer the old Ring/Silent Switch over the action button which everybody only binds to flashlight??,0.7686,0.198,0.0,0.802
"Hear me out dave, the camera control is actually to take selfies form the rear wide angle camera. That's it here we go a game changer",0.0,0.0,0.0,1.0
Still waiting for my AI update in the Netherlands. 😂,0.4404,0.215,0.107,0.678
Dave ? What about glitches,0.0,0.0,0.0,1.0
What Pokemon game was show in this video ??,0.0,0.0,0.0,1.0
"I have been using the iPhone 16 Pro Max for two months, and it has been experiencing serious issues, such as sudden restarts, becoming unresponsive, and Siri not always responding. As for the camera, there is a significant problem with lens reflections that affect both photos and videos. I can’t even capture a sunset or a simple lit candle. Due to all these issues, I have decided to sell this iPhone. I am very disappointed, and it’s a big shame for such a large company to provide mobile phones with such major problems at this price point.",-0.893,0.017,0.127,0.856
No intro. No outro. No music. No BS. Straight to the point. Dave is showing how it's done!,0.2709,0.261,0.169,0.57
"i have been using samsung note 20 ultra for the past 4 years (this is the 5th) and i was considering buying the 16 pro max for a change , you think it's worth it ?",0.2263,0.051,0.0,0.949
"The 'new button' has been such a nice upgrade, reminds me of quick-launch features of the Moto X series. It’d be awesome if they made the button multi-functional with tap combos or something. 

Also, the Siri + ChatGPT combo feels like a solid move in the right direction. 

I upgraded from the 12 to the 16 Pro, and it was such a big jump. Honestly, the 4+ year upgrade cycle just makes the new features feel so much more worth it.",0.9377,0.18,0.0,0.82
"In 5 years, I'd rather opt for nextgen ""Smart Glasses"" from Apple/Meta/Samsung/Google..., onboarded with embedded AI, embedded ultrahigh-res camera lenses, 6G connectivity (eSIM), augmented reality, Holographic I/O interface and amazingly efficient voice/image/video/gesture driven Search interface , killing the legacy search and exploration via mobile browsers running on smartphones.",0.3167,0.137,0.078,0.784
"another useless button. we have 5 buttons now in the phone. 

Apple should add sensor triggers, bypass charging, shrink the size of the front camera, add thurderbolt 5, add 4k60fps in cinema mode, add touch id in power button, get rid of action button and new camera button, increase watt power for charging, use the new technology for increasing of the size of the battery in iPhone.",-0.128,0.033,0.04,0.927
8:55 is the time code for the 60hz discussion,0.0,0.0,0.0,1.0
Clicks looks 🔥 no lie 😂,-0.1779,0.233,0.399,0.368
Love this Channel! Question: Do you prefer to use phones with or without cases?,0.6696,0.257,0.0,0.743
"Somebody give me a ""clicks"" for my Nothing Phone 2a 😭😭😭. I am one of those who used a BB till 2024 (though mine were all without keyboard after 2015)",-0.8519,0.0,0.21,0.79
I went to 16PM but I did think about the 16 base,0.0,0.0,0.0,1.0
totally agree about the camera button location...very weird design choice.,0.2716,0.224,0.136,0.64
"There was a period of time where I had Pro models of iPhone, iPad and MacBook all with ProMotion.

100% saw the difference compared to 60Hz devices and was loud about it, showing it to others and making a point of how 60Hz wasn't good enough. No one else cared (or cared enough, at least). It was just a mild interest to most people, and certainly didn't spoil their 60Hz device for them.

Over the years, I've walked back down the product line to a MacBook Air I chose for thinness, and an iPhone 16 I chose because I didn't need all the stuff on my last Pro iPhone. Maybe takes a short while to get used to again, but it's not life changing. I don't spend loads of time missing it or wishing it was on the lower end products, and I get why Apple sees it as a fit compromise. I'm sure they've done the market research to know that the average non-technical non-Pro customer does not see it as necessary.

I'm never gonna be one who actively asks for less, because getting more for your money is always better. And if Apple put ProMotion screens in the standard non-Pro products I'd definitely be happy. But I can definitely see why Apple chooses to draw the line with ProMotion as a Pro model feature.",0.9785,0.141,0.029,0.83
It’s so crazy I honestly never seen one of your videos today on accident and then I saw your a cofounder for clicks which I don’t personally use but I am a manager at an Amazon pickup returns store and had a customer come in the other day with it on his phone and he was telling me how great it is and had me using it trying to troubleshoot a return for him and I was actually looking into it weird how everything just circles around,0.7956,0.123,0.061,0.817
"Currently own a iPhone 13 Pro Max and I’m considering for the first time to purchase a base model 16 Plus, anyone else done this?",0.0,0.0,0.0,1.0
Seeing that phone not in a case is making me nervous after you broke your razr,-0.5994,0.0,0.259,0.741
Electric Blue Dance Bugaloo,0.0,0.0,0.0,1.0
"Clicks is such a bad product. I mean it's a cool nostalgic idea, but playing with it, it's too much. Plus it's too expensive and not convenient.",0.1531,0.128,0.075,0.797
Clicks is utter useless. Why try to solve a problem which doesn’t exist?,-0.6115,0.102,0.329,0.568
Nice explanation brother,0.4215,0.583,0.0,0.417
"threads
lol",0.4215,0.737,0.0,0.263
all these tech YouTubers calling for foldables are so annoying.,-0.541,0.0,0.279,0.721
"The difficulty in switching is up to the individual who is switching. Depending on how deep into apple's ecosystem you are the harder it is. If you own everything apple, apple watch, airpod, ipad, some crappy apple laptop/desktop then yeah switching to android is going to be a nightmare for you. And thats by design of apple. They want to hook their claws in, sink their teeth into you so you cant get out. Apple products do not play well with anything non-apple. And because apple is seen as a luxury brand and that extremely wrong catch phrase ""it just works"" (no it doesn't) most people think its the non-apple device that is having problems. And thats also again from apple with their marketing making it seem like android or windows are these devices that have tons of problems even though all of them are roughly similar in stability.

So wondering why the apple watch aren't as good when paired to a non-apple product? Or wondering why on android trrying to use that phone with your apple computer only for it to be frustrating as hell? Thats apple's fault. They don't wan to play nice. In doing so they hope your ignorant enough to go oh its the non-apple product that is the problem. And then either switch to apple or switch back to apple. 

Then theres the amount of stuff that just doesn't get transferred over when switching from apple to android. The ios specific apps that aren't on android either cause they are apple's products or made deals with devs to not bring them over. These are all breaking points meant to get users to stay with apple, or regret their purchase and go back to apple. 

However, if you are willing to have an windows pc, a samsung device with all the other samsung stuff, your experience will be 99% similar in use with apple. Most if not all the stuff you can do in the apple ecosystem is prevalent on android with windows pcs. Theres alternative apps and programs that perform at the same level or better depending on your pc and phone. You get a lot more freedom of choice for what you wan it to be. But again this requires you to abandon apple almost if not entirely. Trying to get apple to play nice with non-apple device is an exercise in frustration and futility.",-0.9065,0.046,0.084,0.869
No 16 pro review😢😢,-0.8126,0.0,0.627,0.373
Who cares of 120hz! I’m happy to my i16. 🙂,0.8657,0.519,0.0,0.481
Anyone else slightly concerned that my phone isnt reading my texts and emails 'on device' ... And hence how secure is their reading of my texts emails. 😮,0.34,0.074,0.0,0.926
Are you tempted by the iPhone 16e?,0.0,0.0,0.0,1.0
The only thing I am missing from my pro max is the macro photos nothing else have better reception on Tmobile. And is so much lighter.,-0.5583,0.0,0.161,0.839
"Flossy Carter said it well,someone in this world will go buy one of these and call it great 😂",0.7906,0.265,0.064,0.671
"Sir, with the greatest respect, I find your reviews extremely confusing and quite often contradictory. 

What are you for? What are you against? 

I’m so confused.",0.2017,0.2,0.225,0.575
I rather buy Iphone 16 than 16e,0.0,0.0,0.0,1.0
I thought the iPhone 16e should have had Touch ID on the power button and a punch hole camera on the screen.,0.0,0.0,0.0,1.0
I wanted to upgrade my iPhone SE 2 to this but in all honesty it was £100 too much. One reason or another I needed a 512gb version so I believe it would have been £799. In the end I got a referb iPhone 15 pro for less that the 16e price  and to have those additional features are great.,0.899,0.146,0.0,0.854
I have an 11 pro that is showing signs of a weakened battery. I ordered a 16e because I don’t won’t to spend more than that on another phone. I make social media ad videos for my service business. I’ll keep the 11 pro for that and use the 16e as a normal phone,-0.3182,0.0,0.042,0.958
Just upgraded from an iphone12 mini and couldn't be happier,-0.4168,0.0,0.236,0.764
the iPhone 16e is an iPhone from the past with features of the present. the only thing that would bug me is the 120hz….but the 16e is a clean clean device. if they gave the 16e 120hz and the dynamic island…..i’d buy it in a heartbeat.,0.7906,0.157,0.0,0.843
3:10 iPhone 16 also has the same size.,0.0,0.0,0.0,1.0
"I did the same thing last week, except I went from 15 pro max to the normal 16. I just wanted something smaller and lighter. Will never look back!",0.0,0.0,0.0,1.0
Could you give me the 16 pro max then ? I just subscribed,0.0,0.0,0.0,1.0
"The 16e.
No ultra wide band chip for Air Tag. No mag safe . No product red. I would rather buy a 15 pro when it becomes available on Apple Refurbished.
By the way, as the 15 would normally be 599.00 when the 17 comes out. I would like to bet Apple drop any 599.00 option because it would clash with the price of the 16e.",-0.7654,0.034,0.151,0.815
"I need the Apple ecosystem and I want to upgrade from my iPhone 14 due to usb-c charging. I’m tempted by two things: 2 day battery life and the hope of having better 5g connectivity in my area (austria), due to the new modem. I really don’t want the Apple Intelligence. I also hope the camera is at the same level with my iPhone 14. Should I go for it?",0.9132,0.187,0.0,0.813
"The 16e can only trickle charge on a wireless charger at 7 wats, if you do sports video then vids won’t have stabalisation, worst is it’s only 800 nits display outside .
I would definitely go the 16 instead. I use the 16 and 16Pro , they are both great sizes and I’ve been a max user mostly but this year changed. I do notice the 60 hz display.
The 16e is for I’m assuming for a second business phone or to buy multiple phones for employees, then again there are much better and cheaper great android devices.
You will definitely switch back to your 16 pro max or buy a 16 pro.",0.9423,0.137,0.02,0.843
You need to considere the international subscribers I it so sad that because I am from Mexico I don have the chance,-0.4572,0.077,0.154,0.769
Does the find-my thing where it points you in the direction of the AirTag work on the 16e?,0.0,0.0,0.0,1.0
Best iPhone 16e Review  But there is one issue I don't can live with and this is the Ultraweight Camera I am not able to miss,0.505,0.151,0.0,0.849
I have a Pixel 8 Pro and I had an iPhone SE 2020. I'm going to upgrade to the 16e... It has everything I need. An excellent phone.,0.5719,0.121,0.0,0.879
Want the wallpapers?  Subscribe to the JSL Newsletter!! https://shorturl.at/WZ2Lg,0.2225,0.191,0.0,0.809
"I dont hate iPhones, i m even of thinking about Getting a reburished iPhone 15 for Dating purposes... But Damn I have a Cricket Locked Moto G 2024 i bought at Walmart for $55 including Tax Brand New....EVEN That super budget phone has 120 hz 😂😂😂",0.9464,0.271,0.125,0.603
Is iphone 15 a better option than the 16e?,0.4404,0.266,0.0,0.734
What do you think about going from iPhone 8 Plus to 16e? Is is a great upgrade? Thanks,0.8105,0.315,0.0,0.685
This phone is a joke,0.296,0.355,0.0,0.645
"The iPhone 16e camera can zoom up to 10x, why don't you try it instead of keeping the 2x like the one at launch?",0.3612,0.098,0.0,0.902
I loved it too but I had to send it back because the camera is crap. The amount of motion blur is insane. I'm much happier with this iPhone 14 I got from Amazon,0.2846,0.202,0.154,0.644
Meh  ..... I have a 15 Pro Max.,-0.0772,0.0,0.157,0.843
"""Worth it?""  Nope...",0.2263,0.487,0.0,0.513
"There are no refurbished iPhone 15 Pros in the UK on the Apple Store, so that is off the agenda. The nearest, the 14 Pro, is £740, so I would guess if they were in stock, they would be around £850, which is not competing on price with the 16E- instead, it is an alternative to the iPhone 16.

I would not recommend that anyone buy secondhand as you are at risk. There may be a good reason people sell their year-old iPhones, and at the average eBay price of £690 for the 15 Pro, that is chancy. 

If you buy new and want the entry point iPhone, that is the 16E. Negatives aside, as you can pay more if you need a specific feature(s), that is what you face. Androids punch with better bangs for bucks, but Android is not on your radar if you only want an iPhone. So, for businesses, my elderly parents, and iPhone devotees, this is what they will get. Paying £200 extra for features they have no interest in won't be sensible for them or millions of others. Get a carrier deal if you want discounts, or wait for the price to fall in the next 2-3 months on Amazon.",0.1593,0.055,0.042,0.903
I upgraded from iPhone 11 to iPhone 16e. It’s best,0.6369,0.318,0.0,0.682
"tldr – 16e battery life is poor due to new modem being inefficient and old screen being inefficient.

16e=11:53h
16=15:42h
16PM=17:18h",-0.4767,0.0,0.134,0.866
"Hei 🩷

Vil du si at den tåler mye bruk til spilling og film ? 🩷",0.0,0.0,0.0,1.0
Loving this phone so far!,0.636,0.512,0.0,0.488
"I have been using this for like 4 days and I love it, idk why my net is more. I really like the design.I dont mind if it has only one camera",0.854,0.249,0.036,0.715
1 camera in 2025 for $999 Australia dollars 😂😂😂 apple rip off at its best,0.9169,0.36,0.132,0.508
notch 😅😅,0.6124,0.417,0.0,0.583
Even iSheep freaks can't defend this garbage.,-0.1027,0.0,0.189,0.811
bro it just been 1 week ofc it’s still worth it,0.2263,0.16,0.0,0.84
i’m very shocked people are actually buying this £200 phone for £600,-0.3804,0.0,0.191,0.809
Our One UI 7 video is up in a mobile aspect for your phone: https://youtu.be/F22usek7xb0,0.0,0.0,0.0,1.0
Hello from Sofia 👌🏼🙏🏻,0.7297,0.358,0.0,0.642
At least one 8 elite phone with weight under 200 grams.,0.0,0.0,0.0,1.0
"Anyone looking to upgrade from S10 to 25+. I did and it was worth it. Best part is you can transfer your old phone. My screen and settings are the same. Phone is much faster, can do more with photos. My service is much better as well.",0.8779,0.205,0.0,0.795
"Thinking about upgrading to this🫠 love my pixel, but I want to try something else.",0.4678,0.238,0.0,0.762
"It sounded like you are describing my s20 ultra specs , but missing  SD slot and the 5000 m.a battery 🔋",-0.2617,0.074,0.119,0.807
Love a compact phone. For me a bigger screen is a downgrade.,0.6369,0.276,0.0,0.724
"the fingerprint scanner SUCKS, it's fast but hitting it correctly is always a a challenge, it has only 4 fingerprints in storage and i I've remapped it 50 times now and still have to put my finger multiple times until it unlocks",-0.1696,0.033,0.049,0.918
My s25 is still at service center from past 12 days. Samsung is pathetic at service. Tired of follow ups. The device didn't boot after disconnecting from a call when i was connected to android auto.,-0.765,0.0,0.163,0.837
Update your Samsung and get a pink line on the screen for free........,0.5106,0.216,0.0,0.784
"Sir ji, which one is the best out of : Samsung M35, M14, F14, M15 Prime, F15.  Give your 1 best selection of these.",0.8555,0.276,0.0,0.724
Which city is it in the video?,0.0,0.0,0.0,1.0
"I like Galaxy and all. But once you go top end gaming phone you just cant fo back. Even the basic camera in most gaming phones is pretty incredible. Performance is second to none. I had a Nubia red magic 6r, which is a budget gamer, and no other flagship could keep pace. They were pushing a 90ghz display when almost every other top end device was still pushing 60. I dont even want to know how high the ram has got. While Galaxy had a ultra with 12gb and nubia and like models were pushing 16. Thats desktop power, and enough to do some pretty heavy gaming. New phones also suck with all the stuff they take away. Most people dont know what it is, but the ones who do miss MHL support. Some of us prefer a cable to do our mirroring and audiophile stuff. Wireless messes with things....wonder why",0.8963,0.123,0.066,0.812
"My dad switched phone plans and I'm getting this as a new phone, I'm still gonna miss my note 20 ultra...",-0.1531,0.0,0.074,0.926
"The 25 and 25+ have the same camera, why compare?",0.0,0.0,0.0,1.0
s25 having a 1080p screen....lmfao. Embarassing.,0.0,0.0,0.0,1.0
"Samsung has hit a new low, resorting to shady tactics to force consumers into upgrading their devices. The ongoing issues with the S22 Ultra, especially the failures caused by official software updates, clearly indicate a strategy of planned obsolescence. Countless users are experiencing dead motherboards out of nowhere, with no fault of their own, while Samsung refuses to take responsibility. Just look up the recent cases, and you'll see the truth. A once-respected company is now sabotaging its own customers. Shame on you, Samsung!",-0.875,0.052,0.155,0.794
"Just got mine today, to replace my S20 ultra 😅😊",0.8176,0.362,0.0,0.638
I have the s24 ultra. Should I upgrade to the S25?,0.0,0.0,0.0,1.0
Beautiful Sofia!!!,0.6981,0.827,0.0,0.173
"Looks too much a like cookie cutter phone, generic, doesn't have that wow and no innovation factor. Disappointed.",-0.7056,0.101,0.336,0.563
"Until iphone make changes,  samsung will remain the same.",0.0,0.0,0.0,1.0
I'm disappointed with the lack of colors why is everything so boring now,-0.8122,0.0,0.456,0.544
I have a Note 10+ and thinking of upgrading but think it's worth it for me,0.3291,0.135,0.0,0.865
All samsung products r 3rd class don't buy them . Only for loosers who can't afford iphone.,0.0,0.0,0.0,1.0
Dbrand is racist company. You should stop endorsing them,-0.7351,0.0,0.47,0.53
Hey @mkbhd does the s25+ also get 7 years of updates and stuff like the Google Pixel 8?,0.3612,0.128,0.0,0.872
"4:42 ah yes, the Jraphics Interchange Format",0.4019,0.31,0.0,0.69
I came from the Nothing Phone (1) <- yes ONE haha the S25 Ultra is a fuckign improvement,0.8271,0.367,0.0,0.633
Samsung offer 650 trade in for my pix 9 pro tempted,0.0,0.0,0.0,1.0
Yeah I don't like it looks like and iphone with the making the corners rounded but that's just me,0.2011,0.16,0.074,0.765
My s25 is still at service center from past 12 days. Samsung is pathetic at service. Tired of follow ups. The device didn't boot after disconnecting from a call when i was connected to android auto.,-0.765,0.0,0.163,0.837
I thought that was an iPhone at first!! Why copy it so close?,0.0,0.0,0.0,1.0
"I'm about to get a smartphone from my workplace and I'm pretty much on such annoying dilema:
Samsung Galaxy S25 Plus or iPhone 16 Plus ???",0.2593,0.123,0.089,0.788
"Samsung is a big name in the world of electronics. Samsung mobiles are the best selling. Galaxy S Ultra series is very famous.

 

This year S25 Ultra was launched. I bought it on 5th February 2025. The phone started malfunctioning from the very first day.

 

I went to the local Samsung service center, they postponed the matter. I went there again and again, finally they did a reset and software update.

 

Meanwhile, Samsung's customer care also worked on the phone.

 

For the last one month, I either wait for the phone or go to the service center and sit there.

 

Every time they just postpone it, they will do something tomorrow, they will do it after three days, Samsung has given me nothing but stress for the last one month.

 

I am 68 years old, I am a heart patient, I have kidney problems, I have blood pressure, I am diabetic, I take medicines throughout the day. My doctor advises me to avoid stress.

 

But for the last one month Samsung has brought a lot of stress on me.

 

My cardiologist is worried about my health. If tomorrow there is any effect on my life then Samsung will definitely be responsible.

 

I request with folded hands, never buy anything from Samsung. Once they sell it, these people do not listen to anyone, at any cost.

 

On Monday I will present my case in the consumer court. From tomorrow itself I will make posters in the city and warn customers through microphone - do not buy Samsung. Even Galaxy S25 Ultra turned out to be bad and no one is listening to me.

 

Beware of Samsung.",-0.8249,0.072,0.1,0.828
"After having the s24 for two years, I'm okay with having an S version of it - love it",0.7269,0.264,0.0,0.736
